team,passes,shots,pressures,carries,xg,average_pass_length,ppda,avg_pass_angle_deep,avg_pass_angle_mid,avg_pass_angle_final
Albania,392.6666666666667,10.666666666666666,146.66666666666666,322.3333333333333,0.7278702796666666,21.152317593377123,3.315111780132419,-0.07985343654480438,-0.16125923187986146,1.1252528889854638
Argentina,559.6666666666666,14.666666666666666,133.66666666666666,456.6666666666667,2.6739671580333333,20.898589089296202,2.424673248317566,0.003169434872213416,-0.017088741352425933,-1.0307592541624213
Austria,517.5,12.5,180.5,415.5,1.528953126,20.446254255682806,2.1420540593286495,0.14206904533674838,0.010456219096036688,-0.1619900678704838
Belgium,551.75,13.25,109.75,471.75,1.09453190775,20.983357594305687,3.320037082509428,-0.19575333194315575,-0.1296688572059056,0.3694448515250447
Bolivia,408.0,5.666666666666667,164.0,315.3333333333333,0.3294392599666667,21.921076480974055,2.087439321505834,-0.05861383378089669,-0.42585785676784654,-0.4650067935012725
Brazil,530.0,13.75,137.0,438.75,2.3711435895,20.57733555007921,2.026312191574564,0.15031498437086427,-0.16910760453044715,-1.1447683283025185
Canada,412.0,12.333333333333334,161.33333333333334,317.6666666666667,2.586988702333333,21.194503324798127,2.279355257385266,0.027885832118657927,-0.11243169214316713,-0.3869205321111388
Chile,439.0,7.333333333333333,154.33333333333334,348.3333333333333,0.5365871371666667,23.24908891753041,2.3140582602743116,-0.07503013252035712,-0.09120101143501684,0.18909857642213532
Colombia,492.0,13.166666666666666,138.66666666666666,375.1666666666667,1.5612970045166668,22.336314646215992,2.2722900379197624,-0.0108568512771052,0.09579398675141014,0.21900866239524416
Costa Rica,300.3333333333333,3.0,173.33333333333334,224.66666666666666,0.15802769733333333,24.75627334319114,2.371913228478079,-0.08254955881378627,0.26900465562655834,0.5314359519697073
Croatia,595.0,14.333333333333334,182.0,503.3333333333333,1.941311289,18.47852848268786,2.180252603433718,0.06720787248541957,0.35036660273924003,0.28635116353414336
Czech Republic,369.0,14.666666666666666,138.33333333333334,277.6666666666667,1.5301805507000001,23.841182930708598,2.575063023289911,0.062454191334885174,-0.05155066463106516,-0.8403174927462832
Denmark,590.25,13.0,140.25,468.75,0.9673991495,19.26914092280805,3.0806734659190385,0.016432355867036483,-0.10575565640303494,-0.14815503592062107
Ecuador,330.75,13.5,131.0,252.5,1.9738907343749998,25.482300118677564,2.253857067047173,0.07390384389270958,-0.24551296127054534,-0.34095672932533483
England,648.5714285714286,11.571428571428571,126.57142857142857,544.2857142857143,1.501239628142857,20.664633261716403,3.3261502693172136,0.12061458482748297,0.1152696021579355,-1.2899652723690263
France,575.5,16.833333333333332,134.5,482.0,2.018680707016667,19.274141145612354,3.5477920863874917,0.062119672455140836,-0.2109360319903116,0.34663251620742125
Georgia,356.25,7.5,128.5,292.0,1.05426521775,21.583594077437716,2.572271635890193,0.08719123483493868,-0.07527702035921252,-0.3002478341306103
